Tweet_ID,Tanggal,Tahun,Bulan,Nama_Bulan,Platform,Provinsi_User,Teks,Sentimen,Likes,Retweet_Share,Replies,Hashtags,Verified_Account,Follower_Category
TW-002324,2024-10-01,2024,10,October,Twitter/X,Sulawesi Selatan,Terima kasih pemerintah atas program makan bergizi gratis #MakanBergiziGratis #IndonesiaSehat #AnakIndonesia,Positif,153,7,18,#MakanBergiziGratis #IndonesiaSehat #AnakIndonesia,False,Micro (<1k)
TW-002325,2024-07-01,2024,7,July,Twitter/X,Lampung,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #AntiStunting #MBG",Positif,91,15,3,#AntiStunting #MBG,False,Small (1k-10k)
TW-002326,2024-12-01,2024,12,December,Instagram,Sumatera Utara,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #BalitaSehat",Positif,42,14,1,#BalitaSehat,False,Medium (10k-100k)
TW-002327,2025-05-01,2025,5,May,Instagram,Lampung,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #MakanBergiziGratis #ProgramGizi #GiziGratis,Positif,117,9,17,#MakanBergiziGratis #ProgramGizi #GiziGratis,False,Small (1k-10k)
TW-002328,2024-03-01,2024,3,March,Twitter/X,Kalimantan Timur,Update terbaru pelaksanaan program MBG di Jawa Barat #MakanBergiziGratis #GiziGratis #ProgramGizi,Netral,33,5,3,#MakanBergiziGratis #GiziGratis #ProgramGizi,False,Medium (10k-100k)
TW-002329,2024-07-01,2024,7,July,Facebook,Aceh,Program MBG bagus tapi implementasi masih banyak masalah #GiziAnak #MakanBergiziGratis #AnakIndonesia,Negatif,104,10,3,#GiziAnak #MakanBergiziGratis #AnakIndonesia,False,Small (1k-10k)
TW-002330,2024-01-01,2024,1,January,Facebook,DKI Jakarta,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis #BalitaSehat,Positif,109,3,6,#GiziGratis #BalitaSehat,True,Medium (10k-100k)
TW-002331,2025-05-01,2025,5,May,Instagram,Nusa Tenggara Barat,Kapan program MBG mulai menjangkau kabupaten kami? #IndonesiaSehat #AnakIndonesia,Netral,11,21,0,#IndonesiaSehat #AnakIndonesia,False,Micro (<1k)
TW-002332,2024-02-01,2024,2,February,Twitter/X,Jawa Barat,Anak stunting berkurang berkat program gizi gratis ini #MakanBergiziGratis,Positif,80,7,4,#MakanBergiziGratis,False,Micro (<1k)
TW-002333,2024-11-01,2024,11,November,Instagram,DKI Jakarta,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis #AntiStunting,Positif,13,1,7,#GiziGratis #AntiStunting,False,Micro (<1k)
TW-002334,2024-06-01,2024,6,June,TikTok,Riau,Update terbaru pelaksanaan program MBG di Jawa Barat #ProgramGizi #AnakIndonesia #AntiStunting,Netral,52,1,19,#ProgramGizi #AnakIndonesia #AntiStunting,False,Micro (<1k)
TW-002335,2025-02-01,2025,2,February,Instagram,Riau,Proses verifikasi penerima MBG berapa lama? #ProgramGizi #AntiStunting,Netral,48,5,4,#ProgramGizi #AntiStunting,False,Micro (<1k)
TW-002336,2024-08-01,2024,8,August,Facebook,Jawa Tengah,Terima kasih pemerintah atas program makan bergizi gratis #IndonesiaSehat #GiziGratis #ProgramPemerintah,Positif,29,8,14,#IndonesiaSehat #GiziGratis #ProgramPemerintah,False,Small (1k-10k)
TW-002337,2025-06-01,2025,6,June,Twitter/X,Kalimantan Timur,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #GiziGratis #AnakIndonesia #ProgramGizi",Positif,25,6,1,#GiziGratis #AnakIndonesia #ProgramGizi,False,Micro (<1k)
TW-002338,2024-02-01,2024,2,February,Twitter/X,Sulawesi Selatan,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #ProgramGizi #AnakIndonesia,Netral,6,5,11,#ProgramGizi #AnakIndonesia,False,Micro (<1k)
TW-002339,2025-05-01,2025,5,May,Facebook,Jawa Timur,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #GiziAnak",Netral,10,23,17,#GiziAnak,False,Micro (<1k)
TW-002340,2024-06-01,2024,6,June,Twitter/X,Bali,"Program MBG sangat inovatif, semoga terus berlanjut #AntiStunting #IndonesiaSehat",Positif,11,16,32,#AntiStunting #IndonesiaSehat,False,Micro (<1k)
TW-002341,2025-04-01,2025,4,April,Instagram,Riau,Update terbaru pelaksanaan program MBG di Jawa Barat #ProgramPemerintah,Netral,7,9,0,#ProgramPemerintah,False,Micro (<1k)
TW-002342,2024-03-01,2024,3,March,Instagram,Jawa Tengah,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #MBG #IndonesiaSehat",Positif,62,2,3,#MBG #IndonesiaSehat,False,Medium (10k-100k)
TW-002343,2025-06-01,2025,6,June,Twitter/X,DKI Jakarta,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #AntiStunting #IndonesiaSehat #MakanBergiziGratis",Positif,111,9,18,#AntiStunting #IndonesiaSehat #MakanBergiziGratis,False,Micro (<1k)
TW-002344,2025-01-01,2025,1,January,Twitter/X,Sulawesi Selatan,Kapan program MBG mulai menjangkau kabupaten kami? #GiziAnak #MakanBergiziGratis,Netral,41,101,7,#GiziAnak #MakanBergiziGratis,False,Micro (<1k)
TW-002345,2024-12-01,2024,12,December,Twitter/X,Lampung,Ada yang tahu syarat penerima manfaat MBG untuk balita? #MBG #AnakIndonesia,Netral,8,12,4,#MBG #AnakIndonesia,False,Small (1k-10k)
TW-002346,2025-04-01,2025,4,April,Twitter/X,Sumatera Selatan,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #AntiStunting",Positif,3,2,4,#AntiStunting,True,Micro (<1k)
TW-002347,2024-10-01,2024,10,October,Twitter/X,Riau,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #AnakIndonesia #IndonesiaSehat #MakanBergiziGratis,Netral,60,12,23,#AnakIndonesia #IndonesiaSehat #MakanBergiziGratis,False,Micro (<1k)
TW-002348,2024-06-01,2024,6,June,Instagram,Sulawesi Tengah,Proses verifikasi penerima MBG berapa lama? #GiziAnak,Netral,117,2,4,#GiziAnak,False,Small (1k-10k)
TW-002349,2024-11-01,2024,11,November,TikTok,Jawa Timur,Informasi jadwal distribusi MBG di kecamatan? #MBG #AnakIndonesia #ProgramGizi,Netral,264,29,5,#MBG #AnakIndonesia #ProgramGizi,False,Micro (<1k)
TW-002350,2024-09-01,2024,9,September,Instagram,Jawa Barat,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #ProgramGizi #ProgramPemerintah,Negatif,9,21,20,#ProgramGizi #ProgramPemerintah,False,Small (1k-10k)
TW-002351,2025-06-01,2025,6,June,TikTok,Aceh,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #MBG #MakanBergiziGratis",Positif,103,18,8,#MBG #MakanBergiziGratis,False,Medium (10k-100k)
TW-002352,2024-01-01,2024,1,January,Instagram,Kalimantan Timur,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #ProgramGizi",Positif,17,18,3,#ProgramGizi,False,Micro (<1k)
TW-002353,2025-05-01,2025,5,May,Facebook,Nusa Tenggara Timur,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #MBG #GiziGratis",Netral,104,10,0,#MBG #GiziGratis,False,Micro (<1k)
TW-002354,2024-05-01,2024,5,May,Instagram,DKI Jakarta,Distribusi MBG di daerah kami sering terlambat dan tidak merata 😤 #AnakIndonesia #GiziGratis #MakanBergiziGratis,Negatif,43,2,22,#AnakIndonesia #GiziGratis #MakanBergiziGratis,False,Micro (<1k)
TW-002355,2024-10-01,2024,10,October,Facebook,Jawa Timur,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #MBG,Positif,18,6,9,#MBG,True,Medium (10k-100k)
TW-002356,2025-06-01,2025,6,June,Twitter/X,DKI Jakarta,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #MBG",Positif,103,14,3,#MBG,False,Micro (<1k)
TW-002357,2024-06-01,2024,6,June,Twitter/X,DKI Jakarta,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #IndonesiaSehat #ProgramPemerintah #MakanBergiziGratis",Positif,30,14,3,#IndonesiaSehat #ProgramPemerintah #MakanBergiziGratis,False,Micro (<1k)
TW-002358,2025-06-01,2025,6,June,Twitter/X,Kalimantan Timur,Program MBG bagus tapi implementasi masih banyak masalah #AntiStunting #MakanBergiziGratis #MBG,Negatif,22,21,2,#AntiStunting #MakanBergiziGratis #MBG,False,Micro (<1k)
TW-002359,2024-04-01,2024,4,April,Facebook,Jawa Timur,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AnakIndonesia",Negatif,18,1,4,#AnakIndonesia,False,Micro (<1k)
TW-002360,2024-01-01,2024,1,January,Twitter/X,DKI Jakarta,"Salut dengan program MBG, distribusi di desa kami sudah lancar #IndonesiaSehat #GiziAnak",Positif,196,2,5,#IndonesiaSehat #GiziAnak,False,Micro (<1k)
TW-002361,2024-06-01,2024,6,June,Facebook,Sulawesi Tengah,Transparansi anggaran MBG perlu diawasi lebih ketat #BalitaSehat,Negatif,5,6,0,#BalitaSehat,False,Large (>100k)
TW-002362,2025-03-01,2025,3,March,Twitter/X,Jawa Barat,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #AntiStunting #AnakIndonesia,Positif,14,10,0,#AntiStunting #AnakIndonesia,False,Micro (<1k)
TW-002363,2024-03-01,2024,3,March,Twitter/X,Sulawesi Tengah,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #GiziGratis,Positif,17,1,7,#GiziGratis,False,Medium (10k-100k)
TW-002364,2024-05-01,2024,5,May,Twitter/X,DKI Jakarta,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #AntiStunting",Netral,42,13,14,#AntiStunting,False,Small (1k-10k)
TW-002365,2024-02-01,2024,2,February,Facebook,Kalimantan Timur,"Salut dengan program MBG, distribusi di desa kami sudah lancar #ProgramPemerintah",Positif,199,16,17,#ProgramPemerintah,False,Medium (10k-100k)
TW-002366,2024-01-01,2024,1,January,Twitter/X,Kalimantan Timur,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #GiziAnak #MBG #ProgramPemerintah,Positif,63,4,30,#GiziAnak #MBG #ProgramPemerintah,False,Micro (<1k)
TW-002367,2024-02-01,2024,2,February,Instagram,Nusa Tenggara Timur,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #AntiStunting #ProgramPemerintah #GiziAnak,Positif,46,32,7,#AntiStunting #ProgramPemerintah #GiziAnak,False,Medium (10k-100k)
TW-002368,2025-06-01,2025,6,June,Instagram,Bali,Proses verifikasi penerima MBG berapa lama? #ProgramPemerintah #AntiStunting,Netral,3,5,27,#ProgramPemerintah #AntiStunting,False,Micro (<1k)
TW-002369,2024-09-01,2024,9,September,Twitter/X,Nusa Tenggara Timur,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis #AnakIndonesia,Positif,74,16,14,#GiziGratis #AnakIndonesia,False,Micro (<1k)
TW-002370,2025-06-01,2025,6,June,Instagram,DKI Jakarta,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #MakanBergiziGratis #GiziGratis #AntiStunting,Negatif,7,15,0,#MakanBergiziGratis #GiziGratis #AntiStunting,True,Micro (<1k)
TW-002371,2024-05-01,2024,5,May,Facebook,Lampung,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #MakanBergiziGratis",Negatif,144,7,4,#MakanBergiziGratis,False,Medium (10k-100k)
TW-002372,2024-05-01,2024,5,May,Twitter/X,Nusa Tenggara Timur,Update terbaru pelaksanaan program MBG di Jawa Barat #AntiStunting #MBG #AnakIndonesia,Netral,72,63,2,#AntiStunting #MBG #AnakIndonesia,False,Small (1k-10k)
TW-002373,2024-09-01,2024,9,September,Facebook,Riau,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #MakanBergiziGratis #ProgramGizi #AntiStunting,Positif,15,11,1,#MakanBergiziGratis #ProgramGizi #AntiStunting,False,Medium (10k-100k)
TW-002374,2024-04-01,2024,4,April,Twitter/X,Sulawesi Selatan,Update terbaru pelaksanaan program MBG di Jawa Barat #MBG #AntiStunting,Netral,12,1,2,#MBG #AntiStunting,False,Small (1k-10k)
TW-002375,2024-08-01,2024,8,August,Facebook,Nusa Tenggara Timur,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #AnakIndonesia #MBG,Positif,6,8,6,#AnakIndonesia #MBG,False,Micro (<1k)
TW-002376,2025-05-01,2025,5,May,TikTok,Riau,"Mantap! Program MBG nyata hasilnya, berat badan balita naik #MakanBergiziGratis #BalitaSehat",Positif,12,22,7,#MakanBergiziGratis #BalitaSehat,False,Micro (<1k)
TW-002377,2024-11-01,2024,11,November,Twitter/X,Papua,"Salut dengan program MBG, distribusi di desa kami sudah lancar #MakanBergiziGratis #ProgramGizi #AntiStunting",Positif,20,12,4,#MakanBergiziGratis #ProgramGizi #AntiStunting,False,Micro (<1k)
TW-002378,2024-03-01,2024,3,March,Facebook,Jawa Barat,Apa saja jenis makanan yang diberikan dalam program MBG? #IndonesiaSehat #BalitaSehat,Netral,16,13,7,#IndonesiaSehat #BalitaSehat,False,Micro (<1k)
TW-002379,2024-04-01,2024,4,April,Twitter/X,Sulawesi Selatan,Anak stunting berkurang berkat program gizi gratis ini #GiziAnak #MakanBergiziGratis #ProgramPemerintah,Positif,49,14,0,#GiziAnak #MakanBergiziGratis #ProgramPemerintah,False,Micro (<1k)
TW-002380,2024-02-01,2024,2,February,Twitter/X,Kalimantan Timur,Birokrasi pendaftaran MBG terlalu rumit untuk masyarakat awam #MakanBergiziGratis #ProgramGizi,Negatif,73,22,6,#MakanBergiziGratis #ProgramGizi,False,Small (1k-10k)
TW-002381,2024-06-01,2024,6,June,Twitter/X,Nusa Tenggara Barat,Kapan program MBG mulai menjangkau kabupaten kami? #IndonesiaSehat,Netral,27,6,2,#IndonesiaSehat,False,Small (1k-10k)
TW-002382,2024-02-01,2024,2,February,Twitter/X,Lampung,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #ProgramGizi #GiziAnak #GiziGratis",Netral,97,39,9,#ProgramGizi #GiziAnak #GiziGratis,False,Medium (10k-100k)
TW-002383,2025-04-01,2025,4,April,Twitter/X,Kalimantan Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #ProgramGizi #AnakIndonesia",Positif,40,1,5,#ProgramGizi #AnakIndonesia,False,Micro (<1k)
TW-002384,2025-04-01,2025,4,April,Twitter/X,Jawa Tengah,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #MakanBergiziGratis #BalitaSehat #GiziGratis,Positif,44,30,3,#MakanBergiziGratis #BalitaSehat #GiziGratis,True,Medium (10k-100k)
TW-002385,2024-02-01,2024,2,February,Twitter/X,Riau,Apa saja jenis makanan yang diberikan dalam program MBG? #IndonesiaSehat,Netral,46,7,4,#IndonesiaSehat,False,Medium (10k-100k)
TW-002386,2024-04-01,2024,4,April,Instagram,DKI Jakarta,Program MBG sudah mulai di provinsi saya bulan ini #GiziGratis,Netral,25,5,7,#GiziGratis,False,Micro (<1k)
TW-002387,2025-02-01,2025,2,February,Instagram,Lampung,Birokrasi pendaftaran MBG terlalu rumit untuk masyarakat awam #ProgramGizi #MBG,Negatif,127,18,4,#ProgramGizi #MBG,False,Medium (10k-100k)
TW-002388,2024-01-01,2024,1,January,Twitter/X,Sulawesi Tengah,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #GiziAnak #ProgramGizi",Netral,30,2,3,#GiziAnak #ProgramGizi,False,Small (1k-10k)
TW-002389,2024-04-01,2024,4,April,Twitter/X,DKI Jakarta,Update terbaru pelaksanaan program MBG di Jawa Barat #ProgramGizi #ProgramPemerintah,Netral,109,101,20,#ProgramGizi #ProgramPemerintah,False,Micro (<1k)
TW-002390,2024-08-01,2024,8,August,Facebook,Nusa Tenggara Timur,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #AnakIndonesia,Negatif,2,15,21,#AnakIndonesia,False,Micro (<1k)
TW-002391,2024-07-01,2024,7,July,Instagram,Sumatera Selatan,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #GiziAnak,Positif,128,39,1,#GiziAnak,False,Micro (<1k)
TW-002392,2024-07-01,2024,7,July,Facebook,Riau,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #IndonesiaSehat #GiziAnak,Netral,17,9,4,#IndonesiaSehat #GiziAnak,False,Medium (10k-100k)
TW-002393,2025-03-01,2025,3,March,Twitter/X,Aceh,Transparansi anggaran MBG perlu diawasi lebih ketat #MakanBergiziGratis,Negatif,159,18,3,#MakanBergiziGratis,False,Medium (10k-100k)
TW-002394,2025-04-01,2025,4,April,Twitter/X,Aceh,Terima kasih pemerintah atas program makan bergizi gratis #AnakIndonesia #GiziGratis #GiziAnak,Positif,20,0,3,#AnakIndonesia #GiziGratis #GiziAnak,False,Large (>100k)
TW-002395,2025-02-01,2025,2,February,Instagram,Sumatera Utara,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #AntiStunting",Negatif,133,3,4,#AntiStunting,False,Medium (10k-100k)
TW-002396,2025-02-01,2025,2,February,Twitter/X,Sulawesi Tengah,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #AnakIndonesia #MakanBergiziGratis #AntiStunting,Positif,1,7,13,#AnakIndonesia #MakanBergiziGratis #AntiStunting,False,Small (1k-10k)
TW-002397,2025-06-01,2025,6,June,Instagram,Bali,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #BalitaSehat #ProgramGizi #ProgramPemerintah,Positif,48,12,0,#BalitaSehat #ProgramGizi #ProgramPemerintah,False,Small (1k-10k)
TW-002398,2024-05-01,2024,5,May,Facebook,Nusa Tenggara Barat,Kenapa program MBG belum sampai ke wilayah terpencil kami? #GiziAnak #BalitaSehat #ProgramGizi,Negatif,34,12,2,#GiziAnak #BalitaSehat #ProgramGizi,False,Small (1k-10k)
TW-002399,2024-05-01,2024,5,May,Facebook,Jawa Timur,Informasi jadwal distribusi MBG di kecamatan? #ProgramPemerintah,Netral,29,44,8,#ProgramPemerintah,False,Micro (<1k)
TW-002400,2025-01-01,2025,1,January,TikTok,Sulawesi Tengah,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #GiziGratis,Negatif,92,30,6,#GiziGratis,True,Micro (<1k)
TW-002401,2024-06-01,2024,6,June,Twitter/X,Bali,Program MBG sudah mulai di provinsi saya bulan ini #BalitaSehat #MakanBergiziGratis #IndonesiaSehat,Netral,77,0,3,#BalitaSehat #MakanBergiziGratis #IndonesiaSehat,False,Micro (<1k)
TW-002402,2024-11-01,2024,11,November,Facebook,Sulawesi Selatan,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #GiziAnak #GiziGratis #MakanBergiziGratis",Negatif,52,5,0,#GiziAnak #GiziGratis #MakanBergiziGratis,False,Large (>100k)
TW-002403,2024-05-01,2024,5,May,Twitter/X,Bali,Update terbaru pelaksanaan program MBG di Jawa Barat #AntiStunting #AnakIndonesia,Netral,106,43,5,#AntiStunting #AnakIndonesia,False,Large (>100k)
TW-002404,2024-10-01,2024,10,October,Instagram,Kalimantan Barat,Terima kasih pemerintah atas program makan bergizi gratis #GiziGratis #AntiStunting,Positif,109,11,3,#GiziGratis #AntiStunting,False,Small (1k-10k)
TW-002405,2025-06-01,2025,6,June,Twitter/X,Nusa Tenggara Barat,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #ProgramPemerintah",Netral,4,46,3,#ProgramPemerintah,False,Small (1k-10k)
TW-002406,2024-10-01,2024,10,October,Instagram,Sulawesi Tengah,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #ProgramGizi #IndonesiaSehat,Positif,12,13,0,#ProgramGizi #IndonesiaSehat,False,Micro (<1k)
TW-002407,2024-04-01,2024,4,April,Instagram,Kalimantan Timur,"Salut dengan program MBG, distribusi di desa kami sudah lancar #MBG",Positif,42,3,18,#MBG,False,Small (1k-10k)
TW-002408,2024-03-01,2024,3,March,Twitter/X,Jawa Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #MakanBergiziGratis",Positif,9,8,9,#MakanBergiziGratis,False,Micro (<1k)
TW-002409,2024-08-01,2024,8,August,Instagram,Aceh,Program MBG sudah mulai di provinsi saya bulan ini #AntiStunting #AnakIndonesia,Netral,9,11,0,#AntiStunting #AnakIndonesia,False,Micro (<1k)
TW-002410,2024-03-01,2024,3,March,TikTok,Papua,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AntiStunting",Negatif,125,14,18,#AntiStunting,False,Small (1k-10k)
TW-002411,2024-08-01,2024,8,August,Facebook,Sulawesi Tengah,Kapan program MBG mulai menjangkau kabupaten kami? #AnakIndonesia #MakanBergiziGratis,Netral,44,5,1,#AnakIndonesia #MakanBergiziGratis,False,Micro (<1k)
TW-002412,2024-07-01,2024,7,July,TikTok,Sumatera Selatan,"Salut dengan program MBG, distribusi di desa kami sudah lancar #GiziGratis #AnakIndonesia #AntiStunting",Positif,3,32,2,#GiziGratis #AnakIndonesia #AntiStunting,True,Micro (<1k)
TW-002413,2024-12-01,2024,12,December,Instagram,Jawa Timur,"Program MBG sangat inovatif, semoga terus berlanjut #MakanBergiziGratis",Positif,5,38,4,#MakanBergiziGratis,False,Medium (10k-100k)
TW-002414,2025-06-01,2025,6,June,Twitter/X,Kalimantan Barat,Kenapa program MBG belum sampai ke wilayah terpencil kami? #GiziGratis,Negatif,4,16,4,#GiziGratis,False,Medium (10k-100k)
TW-002415,2025-04-01,2025,4,April,Twitter/X,Nusa Tenggara Timur,Update terbaru pelaksanaan program MBG di Jawa Barat #AntiStunting #GiziGratis #ProgramGizi,Netral,12,0,4,#AntiStunting #GiziGratis #ProgramGizi,False,Micro (<1k)
TW-002416,2024-07-01,2024,7,July,Instagram,Jawa Barat,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #IndonesiaSehat #ProgramPemerintah,Netral,55,19,4,#IndonesiaSehat #ProgramPemerintah,False,Micro (<1k)
TW-002417,2024-04-01,2024,4,April,Facebook,Bali,"Salut dengan program MBG, distribusi di desa kami sudah lancar #ProgramPemerintah",Positif,62,27,36,#ProgramPemerintah,False,Small (1k-10k)
TW-002418,2024-08-01,2024,8,August,Twitter/X,Jawa Barat,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #GiziAnak",Negatif,62,7,10,#GiziAnak,False,Micro (<1k)
TW-002419,2025-02-01,2025,2,February,Instagram,Sulawesi Selatan,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #ProgramPemerintah #IndonesiaSehat,Positif,60,8,2,#ProgramPemerintah #IndonesiaSehat,False,Medium (10k-100k)
TW-002420,2024-06-01,2024,6,June,Instagram,Nusa Tenggara Barat,Program MBG sudah mulai di provinsi saya bulan ini #IndonesiaSehat #MBG,Netral,3,15,5,#IndonesiaSehat #MBG,False,Small (1k-10k)
TW-002421,2024-08-01,2024,8,August,Instagram,DKI Jakarta,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #MakanBergiziGratis #MBG #BalitaSehat",Positif,61,3,5,#MakanBergiziGratis #MBG #BalitaSehat,False,Large (>100k)
TW-002422,2024-12-01,2024,12,December,YouTube,Kalimantan Barat,Kapan program MBG mulai menjangkau kabupaten kami? #AntiStunting #GiziAnak #MBG,Netral,125,24,9,#AntiStunting #GiziAnak #MBG,False,Small (1k-10k)
TW-002423,2024-05-01,2024,5,May,Instagram,Nusa Tenggara Timur,Makanan MBG kadang tidak sesuai kebutuhan gizi lokal #BalitaSehat,Negatif,65,42,3,#BalitaSehat,False,Micro (<1k)
TW-002424,2024-03-01,2024,3,March,Twitter/X,Riau,Informasi jadwal distribusi MBG di kecamatan? #AnakIndonesia #MBG,Netral,94,0,26,#AnakIndonesia #MBG,False,Medium (10k-100k)
TW-002425,2024-03-01,2024,3,March,Facebook,DKI Jakarta,Apa saja jenis makanan yang diberikan dalam program MBG? #AntiStunting #AnakIndonesia #ProgramPemerintah,Netral,28,37,0,#AntiStunting #AnakIndonesia #ProgramPemerintah,False,Micro (<1k)
TW-002426,2024-07-01,2024,7,July,Twitter/X,Sumatera Selatan,Program MBG sudah mulai di provinsi saya bulan ini #IndonesiaSehat,Netral,11,14,2,#IndonesiaSehat,False,Micro (<1k)
TW-002427,2024-11-01,2024,11,November,Instagram,Sulawesi Tengah,"Salut dengan program MBG, distribusi di desa kami sudah lancar #AnakIndonesia",Positif,45,8,16,#AnakIndonesia,False,Micro (<1k)
TW-002428,2024-04-01,2024,4,April,TikTok,Sumatera Utara,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #ProgramGizi,Positif,114,26,1,#ProgramGizi,False,Medium (10k-100k)
TW-002429,2024-07-01,2024,7,July,Facebook,Bali,"Salut dengan program MBG, distribusi di desa kami sudah lancar #GiziAnak",Positif,12,19,22,#GiziAnak,True,Micro (<1k)
TW-002430,2025-02-01,2025,2,February,TikTok,Jawa Tengah,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #ProgramPemerintah,Positif,22,26,3,#ProgramPemerintah,False,Medium (10k-100k)
TW-002431,2024-07-01,2024,7,July,Twitter/X,Aceh,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis,Positif,8,45,1,#GiziGratis,True,Micro (<1k)
TW-002432,2024-08-01,2024,8,August,Instagram,Sulawesi Tengah,Proses verifikasi penerima MBG berapa lama? #GiziAnak #ProgramGizi,Netral,81,16,0,#GiziAnak #ProgramGizi,False,Small (1k-10k)
TW-002433,2024-05-01,2024,5,May,Twitter/X,DKI Jakarta,Informasi jadwal distribusi MBG di kecamatan? #GiziGratis,Netral,159,17,4,#GiziGratis,False,Micro (<1k)
TW-002434,2025-05-01,2025,5,May,Twitter/X,Bali,"Program MBG sangat inovatif, semoga terus berlanjut #ProgramPemerintah #MBG #MakanBergiziGratis",Positif,94,7,0,#ProgramPemerintah #MBG #MakanBergiziGratis,False,Small (1k-10k)
TW-002435,2024-09-01,2024,9,September,TikTok,Sumatera Utara,Program MBG bagus tapi implementasi masih banyak masalah #ProgramPemerintah,Negatif,28,7,12,#ProgramPemerintah,False,Micro (<1k)
TW-002436,2024-12-01,2024,12,December,Twitter/X,Kalimantan Timur,Update terbaru pelaksanaan program MBG di Jawa Barat #ProgramGizi #MakanBergiziGratis,Netral,21,8,4,#ProgramGizi #MakanBergiziGratis,False,Small (1k-10k)
TW-002437,2024-01-01,2024,1,January,Instagram,DKI Jakarta,"Program MBG sangat inovatif, semoga terus berlanjut #ProgramPemerintah #IndonesiaSehat #BalitaSehat",Positif,2,11,13,#ProgramPemerintah #IndonesiaSehat #BalitaSehat,True,Small (1k-10k)
TW-002438,2024-09-01,2024,9,September,Twitter/X,Sulawesi Tengah,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #ProgramPemerintah",Positif,7,1,1,#ProgramPemerintah,False,Micro (<1k)
TW-002439,2025-06-01,2025,6,June,Instagram,Bali,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #GiziAnak,Positif,41,12,3,#GiziAnak,False,Large (>100k)
TW-002440,2024-06-01,2024,6,June,Twitter/X,Kalimantan Barat,Ada yang tahu syarat penerima manfaat MBG untuk balita? #AnakIndonesia,Netral,59,21,0,#AnakIndonesia,False,Small (1k-10k)
